ID,campus,program,Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment​,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work​,Generative AI in study practices​,"Motivation, well-being and work-life balance​",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,separator,Tværfagligt problemdesign2,Systemtænkning i ingeniørvidenskab3,Etisk teknologivurdering4,Psykologisk tryghed i teams5,Samarbejde på tværs af fagligheder6,Facilitering af produktive møder7,Digitale praksisser i projektarbejdet8,SCRUM-teknikker i projektarbejdet9,Generativ AI i studiepraksis10,"Motivation, trivsel og work-life balance11",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day)12,Clarification of individual professional competences13,Ethical technology assessment​14,Psychological safety in team work15,Professional communication with external partners16,Leadership and project management17,Digital and hybrid practices in collaborative work18,Professional identity development19,Interdisciplinary problem design20,Systems thinking in engineering21,Collaboration across discplines22,Facilitation of productive meeting23,SCRUM-techniques in project work​24,Generative AI in study practices​25,"Motivation, well-being and work-life balance​26",Creativity and entrepeneurship27,Psychological safety in teamwork28,Digital practices in project work29
91,AAL,master,,,,,,,,,,,1,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
92,AAL,bachelor,,1,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
93,AAL,bachelor,,,,,,,3,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
94,ESB,master,,,,,,,,,,,,2,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
95,AAL,master,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
96,AAL,master,,,,,,,,,,,3,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
97,ESB,bachelor,,,,,,,,,,,,,,,,,,,,,3,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
98,ESB,master,,,,,,,,,,,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
99,AAL,master,,,,,,,,,,,,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
100,AAL,master,,,,,,,,,,,,2,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
101,AAL,master,,,,,,,,,,,,1,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
102,CPH,master,,,,,,,,,,,,3,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
104,AAL,master,,,,,,,,,,,,,,1,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
105,AAL,bachelor,,2,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
106,AAL,bachelor,,1,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
107,AAL,bachelor,3,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
108,AAL,bachelor,2,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
110,AAL,master,,,,,,,,,,,,2,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
111,AAL,master,,,,,,,,,,,,2,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
112,AAL,bachelor,3,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
114,AAL,master,,,,,,,,,,,3,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
115,CPH,master,,,,,,,,,,,,1,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
116,ESB,master,,,,,,,,,,,,3,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,AAL,master,,,,,,,,,,,,,,,3,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
118,AAL,bachelor,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
119,AAL,bachelor,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
120,AAL,bachelor,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
121,AAL,bachelor,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
122,AAL,bachelor,,3,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
123,CPH,master,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
124,CPH,master,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,
125,CPH,master,,,,,,,,,,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,
126,CPH,master,,,,,,,,,,,,3,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
127,AAL,bachelor,1,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
128,AAL,master,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
129,CPH,bachelor,,2,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
130,CPH,bachelor,,2,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
131,CPH,bachelor,,2,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
132,AAL,bachelor,,,,,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
133,AAL,bachelor,,,,3,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
134,AAL,bachelor,,,,3,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
135,AAL,bachelor,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
136,CPH,bachelor,3,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
137,AAL,master,,,,,,,,,,,1,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
138,AAL,bachelor,,1,,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
139,AAL,bachelor,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
140,AAL,master,,,,,,,,,,,,3,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
141,AAL,bachelor,,,,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
142,AAL,bachelor,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
143,AAL,master,,,,,,,,,,,1,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
144,AAL,master,,,,,,,,,,,,1,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
145,AAL,master,,,,,,,,,,,,1,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
146,AAL,master,,,,,,,,,,,,1,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
147,AAL,master,,,,,,,,,,,,1,,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
148,AAL,master,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,AAL,bachelor,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
150,AAL,master,,,,,,,,,,,3,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
151,AAL,master,,,,,,,,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
152,AAL,master,,,,,,,,,,,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,CPH,master,,,,,,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
155,AAL,master,,,,,,,,,,,,1,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,AAL,master,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,AAL,master,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,AAL,master,,,,,,,,,,,,1,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,AAL,bachelor,,1,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
161,AAL,master,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
162,AAL,bachelor,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
163,AAL,master,,,,,,,,,,,1,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
164,AAL,master,,,,,,,,,,,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
165,AAL,bachelor,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
166,AAL,master,,,,,,,,,,,,1,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
168,AAL,bachelor,,,1,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,AAL,master,,,,,,,,,,,,1,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,AAL,bachelor,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
172,AAL,master,,,,,,,,,,,2,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
173,AAL,bachelor,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
174,AAL,bachelor,,,,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
175,AAL,bachelor,,2,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
176,AAL,bachelor,,,,1,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
177,CPH,bachelor,,2,,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
178,AAL,bachelor,,2,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
179,AAL,bachelor,,2,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
180,AAL,bachelor,,3,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
181,AAL,master,,,,,,,,,,,3,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
182,AAL,master,,,,,,,,,,,,1,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
183,CPH,master,,,,,,,,,,,,3,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,AAL,master,,,,,,,,,,,,2,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
185,AAL,master,,,,,,,,,,,,3,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
186,AAL,master,,,,,,,,,,,3,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
187,AAL,master,,,,,,,,,,,3,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,
